club,nation,league,name,rating,position,price,card_types
FUT 21 ICONS,Brazil,Icons,Pelé,98,CAM,8.6M,icon gold rare
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,98,ST,9.14M,toty gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,98,ST,2.25M,toty gold rare
FC Barcelona,Argentina,LaLiga Santander,Lionel Messi,98,RW,4.87M,toty gold rare
FUT 21 ICONS,Argentina,Icons,Diego Maradona,97,CAM,4.59M,icon gold rare
Paris SG,France,Ligue 1 Conforama,Kylian Mbappé,97,ST,7.35M,toty gold rare
Manchester Utd,Portugal,Premier League,Bruno Fernandes,97,CAM,3.9M,toty gold rare
FUT 21 ICONS,France,Icons,Zinedine Zidane,96,CAM,4.95M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldo,96,ST,13.36M,icon gold rare
Manchester City,Belgium,Premier League,Kevin De Bruyne,96,CAM,1.97M,toty gold rare
FC Bayern,Germany,Bundesliga,Joshua Kimmich,96,CDM,1.96M,toty gold rare
Real Madrid,Spain,LaLiga Santander,Sergio Ramos,96,CB,1.81M,toty gold rare
FC Bayern,Germany,Bundesliga,Manuel Neuer,96,GK,441K,toty gold rare
Liverpool,Netherlands,Premier League,Virgil van Dijk,96,CB,2.54M,toty gold rare
FUT 21 ICONS,Brazil,Icons,Pelé,95,CF,6.14M,icon gold rare
FUT 21 ICONS,Argentina,Icons,Diego Maradona,95,CAM,2.15M,icon gold rare
FC Barcelona,Argentina,LaLiga Santander,Lionel Messi,95,CF,1.77M,ucl_tott gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldinho,94,LW,6.38M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Johan Cruyff,94,CF,6.8M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Ronaldo,94,ST,8.27M,icon gold rare
FUT 21 ICONS,Russia,Icons,Lev Yashin,94,GK,860K,icon gold rare
FUT 21 ICONS,Italy,Icons,Paolo Maldini,94,CB,4.96M,icon gold rare
FUT 21 ICONS,Brazil,Icons,Mané Garrincha,94,RW,2.94M,icon gold rare
FUT 21 ICONS,France,Icons,Zinedine Zidane,94,CAM,2.79M,icon gold rare
FUT 21 ICONS,Hungary,Icons,Ferenc Puskás,94,CF,3.22M,icon gold rare
FC Barcelona,Argentina,LaLiga Santander,Lionel Messi,94,CF,1.09M,if gold rare
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,94,ST,4.51M,if gold rare
Liverpool,England,Premier League,Trent Alexander-Arnold,94,RB,1.17M,toty gold rare
FUT 21 ICONS,Italy,Icons,Roberto Baggio,93,CAM,770K,icon gold rare
FUT 21 ICONS,France,Icons,Thierry Henry,93,ST,2.2M,icon gold rare
FUT 21 ICONS,Italy,Icons,Franco Baresi,93,CB,379K,icon gold rare
FUT 21 ICONS,Brazil,Icons,Carlos Alberto Torres,93,RB,1.49M,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Marco van Basten,93,ST,452K,icon gold rare
FUT 21 ICONS,Netherlands,Icons,Ruud Gullit,93,CF,8M,icon gold rare
FUT 21 ICONS,Northern Ireland,Icons,George Best,93,RW,2.66M,icon gold rare
FUT 21 ICONS,Germany,Icons,Lothar Matthäus,93,CM,3.05M,icon gold rare
FUT 21 ICONS,Portugal,Icons,Eusébio,93,CF,6.99M,icon gold rare
FC Barcelona,Argentina,LaLiga Santander,Lionel Messi,93,RW,282K,gold rare
FUT 21 ICONS,France,Icons,Éric Cantona,93,CF,3.45M,icon gold rare
FUT 21 ICONS,Spain,Icons,Xavier Hernández,93,CM,1.3M,icon gold rare
FC Barcelona,Argentina,LaLiga Santander,Lionel Messi,93,RW,285K,ucl_rare gold rare
Atlético de Madrid,Slovenia,LaLiga Santander,Jan Oblak,93,GK,318K,ucl_live gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,93,ST,461.7K,potm_bundesliga gold rare
Piemonte Calcio,Portugal,Serie A TIM,Cristiano Ronaldo,93,ST,3.09M,if gold rare
FC Bayern,Poland,Bundesliga,Robert Lewandowski,93,ST,290K,if gold rare
